x;y;u;v;column;row
0.0000;0.0000;0.0016;-0.0085;0;0
0.0345;0.0000;0.0356;-0.0084;1;0
0.0690;0.0000;0.0697;-0.0078;2;0
0.1034;0.0000;0.1040;-0.0069;3;0
0.1379;0.0000;0.1383;-0.0058;4;0
0.1724;0.0000;0.1728;-0.0046;5;0
0.2069;0.0000;0.2072;-0.0035;6;0
0.2414;0.0000;0.2417;-0.0024;7;0
0.2759;0.0000;0.2762;-0.0015;8;0
0.3103;0.0000;0.3107;-0.0008;9;0
0.3448;0.0000;0.3452;-0.0002;10;0
0.3793;0.0000;0.3796;0.0001;11;0
0.4138;0.0000;0.4141;0.0004;12;0
0.4483;0.0000;0.4485;0.0005;13;0
0.4828;0.0000;0.4829;0.0004;14;0
0.5172;0.0000;0.5174;0.0003;15;0
0.5517;0.0000;0.5518;0.0002;16;0
0.5862;0.0000;0.5862;0.0001;17;0
0.6207;0.0000;0.6206;0.0000;18;0
0.6552;0.0000;0.6551;0.0000;19;0
0.6897;0.0000;0.6896;0.0001;20;0
0.7241;0.0000;0.7241;0.0003;21;0
0.7586;0.0000;0.7586;0.0006;22;0
0.7931;0.0000;0.7931;0.0010;23;0
0.8276;0.0000;0.8276;0.0014;24;0
0.8621;0.0000;0.8621;0.0018;25;0
0.8966;0.0000;0.8966;0.0021;26;0
0.9310;0.0000;0.9311;0.0022;27;0
0.9655;0.0000;0.9655;0.0020;28;0
1.0000;0.0000;0.9998;0.0013;29;0
0.0000;0.0526;0.0011;0.0450;0;1
0.0345;0.0526;0.0351;0.0451;1;1
0.0690;0.0526;0.0693;0.0456;2;1
0.1034;0.0526;0.1036;0.0464;3;1
0.1379;0.0526;0.1380;0.0474;4;1
0.1724;0.0526;0.1725;0.0485;5;1
0.2069;0.0526;0.2070;0.0495;6;1
0.2414;0.0526;0.2415;0.0505;7;1
0.2759;0.0526;0.2760;0.0513;8;1
0.3103;0.0526;0.3105;0.0520;9;1
0.3448;0.0526;0.3450;0.0524;10;1
0.3793;0.0526;0.3795;0.0528;11;1
0.4138;0.0526;0.4139;0.0529;12;1
0.4483;0.0526;0.4484;0.0530;13;1
0.4828;0.0526;0.4828;0.0529;14;1
0.5172;0.0526;0.5173;0.0528;15;1
0.5517;0.0526;0.5517;0.0527;16;1
0.5862;0.0526;0.5862;0.0526;17;1
0.6207;0.0526;0.6207;0.0525;18;1
0.6552;0.0526;0.6551;0.0525;19;1
0.6897;0.0526;0.6896;0.0525;20;1
0.7241;0.0526;0.7241;0.0527;21;1
0.7586;0.0526;0.7587;0.0530;22;1
0.7931;0.0526;0.7932;0.0533;23;1
0.8276;0.0526;0.8278;0.0536;24;1
0.8621;0.0526;0.8624;0.0539;25;1
0.8966;0.0526;0.8969;0.0540;26;1
0.9310;0.0526;0.9314;0.0539;27;1
0.9655;0.0526;0.9659;0.0534;28;1
1.0000;0.0526;1.0002;0.0523;29;1
0.0000;0.1053;0.0006;0.0984;0;2
0.0345;0.1053;0.0347;0.0984;1;2
0.0690;0.1053;0.0689;0.0989;2;2
0.1034;0.1053;0.1033;0.0997;3;2
