x;y;u;v;column;row
0.0000;0.0000;-0.0082;-0.0109;0;0
0.0345;0.0000;0.0264;-0.0107;1;0
0.0690;0.0000;0.0609;-0.0105;2;0
0.1034;0.0000;0.0955;-0.0104;3;0
0.1379;0.0000;0.1301;-0.0102;4;0
0.1724;0.0000;0.1647;-0.0099;5;0
0.2069;0.0000;0.1993;-0.0097;6;0
0.2414;0.0000;0.2339;-0.0094;7;0
0.2759;0.0000;0.2686;-0.0090;8;0
0.3103;0.0000;0.3033;-0.0086;9;0
0.3448;0.0000;0.3381;-0.0081;10;0
0.3793;0.0000;0.3730;-0.0075;11;0
0.4138;0.0000;0.4081;-0.0067;12;0
0.4483;0.0000;0.4434;-0.0057;13;0
0.4828;0.0000;0.4789;-0.0044;14;0
0.5172;0.0000;0.5145;-0.0028;15;0
0.5517;0.0000;0.5503;-0.0010;16;0
0.5862;0.0000;0.5858;0.0008;17;0
0.6207;0.0000;0.6209;0.0022;18;0
0.6552;0.0000;0.6552;0.0031;19;0
0.6897;0.0000;0.6890;0.0034;20;0
0.7241;0.0000;0.7226;0.0034;21;0
0.7586;0.0000;0.7563;0.0034;22;0
0.7931;0.0000;0.7901;0.0034;23;0
0.8276;0.0000;0.8242;0.0035;24;0
0.8621;0.0000;0.8584;0.0036;25;0
0.8966;0.0000;0.8927;0.0038;26;0
0.9310;0.0000;0.9271;0.0039;27;0
0.9655;0.0000;0.9615;0.0040;28;0
1.0000;0.0000;0.9960;0.0041;29;0
0.0000;0.0526;-0.0077;0.0420;0;1
0.0345;0.0526;0.0268;0.0422;1;1
0.0690;0.0526;0.0614;0.0423;2;1
0.1034;0.0526;0.0960;0.0425;3;1
0.1379;0.0526;0.1305;0.0426;4;1
0.1724;0.0526;0.1651;0.0428;5;1
0.2069;0.0526;0.1996;0.0430;6;1
0.2414;0.0526;0.2342;0.0433;7;1
0.2759;0.0526;0.2688;0.0435;8;1
0.3103;0.0526;0.3034;0.0438;9;1
0.3448;0.0526;0.3381;0.0442;10;1
0.3793;0.0526;0.3729;0.0446;11;1
0.4138;0.0526;0.4078;0.0453;12;1
0.4483;0.0526;0.4431;0.0461;13;1
0.4828;0.0526;0.4786;0.0473;14;1
0.5172;0.0526;0.5145;0.0490;15;1
0.5517;0.0526;0.5508;0.0512;16;1
0.5862;0.0526;0.5872;0.0537;17;1
0.6207;0.0526;0.6227;0.0558;18;1
0.6552;0.0526;0.6567;0.0565;19;1
0.6897;0.0526;0.6895;0.0561;20;1
0.7241;0.0526;0.7225;0.0555;21;1
0.7586;0.0526;0.7560;0.0553;22;1
0.7931;0.0526;0.7899;0.0553;23;1
